Host Name,Planet Letter,Planet Name,Discovery Method,Year of Discovery,Orbital Period (days),Planet Mass (Earth Mass),Planet Radius (Earth Radii),Planet Density (g/cm^3),Equilibrium Temperature (K),Insolation Flux (Earth Flux)
11 Com,b,11 Com b,Radial Velocity,2007,326.03,6165.6,12.1,19.1,,
11 UMi,b,11 UMi b,Radial Velocity,2009,516.21997,4684.8142,12.3,13.8,,
14 And,b,14 And b,Radial Velocity,2008,185.84,1525.5,12.9,3.9,,
14 Her,b,14 Her b,Radial Velocity,2002,1773.40002,1481.0878,12.9,3.79,,
16 Cyg B,b,16 Cyg B b,Radial Velocity,1996,798.5,565.7374,13.5,1.26,,
18 Del,b,18 Del b,Radial Velocity,2008,993.3,3273.5,12.5,9.21,,
1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,Imaging,2008,,3000,18.647,2.54,1700,
24 Boo,b,24 Boo b,Radial Velocity,2018,30.3506,289.2253,13.9,0.592,,
24 Sex,b,24 Sex b,Radial Velocity,2010,452.8,632.46,13.4,1.44,,
24 Sex,c,24 Sex c,Radial Velocity,2010,883,273.32,13.9,0.559,,
2MASS J01033563-5515561 A,b,2MASS J01033563-5515561 AB b,Imaging,2013,,4131.79,12.3,12.2,,
2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,Imaging,2013,,7786.5,11.209,30.4,1600,
2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,Imaging,2015,,4417.837,16.141,5.77,,
2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,Imaging,2010,,2383.6,12.6,6.55,,
2MASS J12073346-3932539,b,2MASS J12073346-3932539 b,Imaging,2004,,1271,13,3.18,1150,
2MASS J19383260+4603591,b,2MASS J19383260+4603591 b,Eclipse Timing Variations,2015,416,603.877,13.4,1.38,,
2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,Imaging,2009,7336.5,6657.48,10.31,33.4,2075,
2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,Imaging,2016,,3972.875,12.3,11.7,,
30 Ari B,b,30 Ari B b,Radial Velocity,2009,335.10001,4392.4106,12.3,13,,
4 UMa,b,4 UMa b,Radial Velocity,2006,269.3,2256.5,12.7,6.05,,
42 Dra,b,42 Dra b,Radial Velocity,2008,479.1,1233.13,13,3.08,,
47 UMa,b,47 UMa b,Radial Velocity,1996,1078,804.08,13.2,1.92,,
47 UMa,c,47 UMa c,Radial Velocity,2001,2391,171.621,14.2,0.329,,
47 UMa,d,47 UMa d,Radial Velocity,2009,14002,521.22,13.5,1.16,,
51 Eri,b,51 Eri b,Imaging,2015,11688,635.66,13.4,1.45,700,
51 Peg,b,51 Peg b,Radial Velocity,1995,4.230785,146.2018,14.3,0.275,,
55 Cnc,b,55 Cnc b,Radial Velocity,1996,14.65152,263.9785,13.9,0.54,700,
55 Cnc,c,55 Cnc c,Radial Velocity,2004,44.4175,54.4738,8.51,0.486,,
55 Cnc,d,55 Cnc d,Radial Velocity,2002,4825,1232.493,13,3.08,,
55 Cnc,e,55 Cnc e,Radial Velocity,2004,0.736539,8.08,1.91,6.4,1958,
55 Cnc,f,55 Cnc f,Radial Velocity,2007,262,44.812,7.59,0.563,,
6 Lyn,b,6 Lyn b,Radial Velocity,2008,934.3,638.8383,13.4,1.46,,
61 Vir,b,61 Vir b,Radial Velocity,2009,4.215,5.1,2.11,2.98,,
61 Vir,c,61 Vir c,Radial Velocity,2009,38.021,18.2,4.46,1.13,,
61 Vir,d,61 Vir d,Radial Velocity,2009,123.01,22.9,5.11,0.943,,
7 CMa,b,7 CMa b,Radial Velocity,2011,735.1,587.9855,13.4,1.34,,
7 CMa,c,7 CMa c,Radial Velocity,2019,996,276.5121,13.9,0.566,,
70 Vir,b,70 Vir b,Radial Velocity,1996,116.688,2380.45,12.6,6.54,,
75 Cet,b,75 Cet b,Radial Velocity,2012,691.9,953.49,13.1,2.33,,
8 UMi,b,8 UMi b,Radial Velocity,2015,93.4,416.3573,13.6,0.91,,
81 Cet,b,81 Cet b,Radial Velocity,2008,952.7,1684.4,12.8,4.41,,
91 Aqr,b,91 Aqr b,Radial Velocity,2013,181.4,1017,13.1,2.49,,
AB Pic,b,AB Pic b,Imaging,2005,,4290.5,12.3,12.7,,
AU Mic,b,AU Mic b,Transit,2020,8.46321,57.2094,4.203,4.4,,
BD+03 2562,b,BD+03 2562 b,Radial Velocity,2017,481.9,2034.112,12.7,5.46,,
BD+14 4559,b,BD+14 4559 b,Radial Velocity,2009,268.94,330.5432,13.8,0.691,,
BD+15 2375,b,BD+15 2375 b,Radial Velocity,2016,153.22,337.21763,13.8,0.705,,
BD+15 2940,b,BD+15 2940 b,Radial Velocity,2013,137.48,352.78,13.7,0.754,,
BD+20 2457,b,BD+20 2457 b,Radial Velocity,2009,379.63,17668.1697,11.6,62.2,,
BD+20 2457,c,BD+20 2457 c,Radial Velocity,2009,621.99,3963.17,12.4,11.4,,
BD+20 274,b,BD+20 274 b,Radial Velocity,2012,578.2,1334.886,13,3.34,,
BD+20 594,b,BD+20 594 b,Transit,2016,41.6855,22.2481,2.578,7.89,546,
BD+48 738,b,BD+48 738 b,Radial Velocity,2011,392.6,289.2253,13.9,0.592,,
BD+48 740,b,BD+48 740 b,Radial Velocity,2018,733,540.311,13.5,1.21,,
BD+49 828,b,BD+49 828 b,Radial Velocity,2015,2590,508.5,13.5,1.14,,
BD-06 1339,b,BD-06 1339 b,Radial Velocity,2013,3.8728,8.5,2.85,2.02,,
BD-06 1339,c,BD-06 1339 c,Radial Velocity,2013,125.94,53,8.38,0.495,,
BD-08 2823,b,BD-08 2823 b,Radial Velocity,2009,5.6,12.7132,3.61,1.48,,
BD-08 2823,c,BD-08 2823 c,Radial Velocity,2009,237.6,104,12.5,0.293,,
BD-10 3166,b,BD-10 3166 b,Radial Velocity,2000,3.48777,187.5197,14.1,0.368,,
BD-11 4672,b,BD-11 4672 b,Radial Velocity,2014,1634,206.5895,14.1,0.405,,
BD-11 4672,c,BD-11 4672 c,Radial Velocity,2020,74.2,15.37,4.04,1.28,,
BD-13 2130,b,BD-13 2130 b,Radial Velocity,2007,714.29999,3108.3774,12.5,8.75,,
BD-17 63,b,BD-17 63 b,Radial Velocity,2008,655.6,1620.9,12.8,4.25,,
CFBDSIR J145829+101343,b,CFBDSIR J145829+101343 b,Imaging,2011,10037.5,3337.1,12.4,9.62,370,
CHXR 73,b,CHXR 73 b,Imaging,2006,,3994.486,12.3,11.8,,
CI Tau,b,CI Tau b,Radial Velocity,2019,8.9891,3686.828,12.4,10.6,,
CT Cha,b,CT Cha b,Imaging,2007,,5403,24.66,1.98,2600,
CoRoT-1,b,CoRoT-1 b,Transit,2008,1.5089557,327.35,16.7,0.38,1898,
CoRoT-10,b,CoRoT-10 b,Transit,2010,13.2406,874,10.87,3.7,600,
CoRoT-11,b,CoRoT-11 b,Transit,2010,2.99433,740.51,16.03,0.99,1657,
CoRoT-12,b,CoRoT-12 b,Transit,2010,2.828042,291.438,16.14,0.411,1442,
CoRoT-13,b,CoRoT-13 b,Transit,2010,4.03519,415.704,9.92,2.34,1700,
CoRoT-14,b,CoRoT-14 b,Transit,2010,1.51214,2415.4,12.22,7.3,1952,
CoRoT-16,b,CoRoT-16 b,Transit,2011,5.35227,170.032,13.11,0.44,,
CoRoT-17,b,CoRoT-17 b,Transit,2011,3.7681,772.29,11.43,2.82,1626,
CoRoT-18,b,CoRoT-18 b,Transit,2011,1.9000693,1102.82,14.68,2.2,1550,
CoRoT-19,b,CoRoT-19 b,Transit,2011,3.89713,352.78,14.46,0.71,2000,
CoRoT-2,b,CoRoT-2 b,Transit,2008,1.7429935,1102.82,16.432,1.47,1521,
CoRoT-20,b,CoRoT-20 b,Transit,2011,9.24285,1366.669,9.416,8.87,1024,
CoRoT-20,c,CoRoT-20 c,Radial Velocity,2018,1675,5403.11,12.2,16.4,,
CoRoT-21,b,CoRoT-21 b,Transit,2012,2.72474,718.2958,14.572,1.36,,
CoRoT-22,b,CoRoT-22 b,Transit,2014,9.75598,12.2,4.88,0.249,885,
CoRoT-23,b,CoRoT-23 b,Transit,2011,3.6313,889.9,11.77,3,1660,
CoRoT-24,b,CoRoT-24 b,Transit,2014,5.1134,5.7,3.7,0.9,1070,
CoRoT-24,c,CoRoT-24 c,Transit,2014,11.759,28,5,1.3,850,
CoRoT-25,b,CoRoT-25 b,Transit,2013,4.86069,85.81,12.11,0.15,1330,
CoRoT-26,b,CoRoT-26 b,Transit,2013,4.20474,165.26,14.12,0.28,1600,
